股票代码,股票名称,变动日期,变动人,变动股数,成交均价,变动后持股数,与董监高关系,董监高职务
SZ301529,福赛科技,2026-04-29,殷敖金,-50000,125.8,5667400.0,本人,董事、高管
SZ301529,福赛科技,2026-04-29,杨宏亮,-11000,127.09,808200.0,本人,董事、高管
SZ301305,朗坤科技,2026-04-29,杨友强,-214000,27.03,6460000.0,本人,董事、高管
SZ301285,鸿日达,2026-04-29,张光明,-8000,104.88,112000.0,本人,高管
SZ301285,鸿日达,2026-04-29,姚作文,-20000,106.52,60000.0,本人,董事
SZ301235,华康洁净,2026-04-29,谭平涛,-132900,40.0,44820100.0,本人,董事
SZ301202,朗威股份,2026-04-29,高建强,10000,40.58,10410000.0,本人,董事、高管
SZ301129,瑞纳智能,2026-04-29,陈朝晖,-8000,27.27,1105000.0,本人,董秘、高管、董事
SZ301042,安联锐视,2026-04-29,李志洋,-20000,107.24,977500.0,本人,董事、高管
SZ301032,新柴股份,2026-04-29,朱观岚,-366000,13.07,39122700.0,本人,高管、董事
SZ300928,华安鑫创,2026-04-29,张龙,-7900,30.8,83700.0,本人,高管
SZ300900,广联航空,2026-04-29,杨怀忠,-24800,42.88,682200.0,本人,董事、高管
SZ300747,锐科激光,2026-04-29,李杰,-30000,36.2,173200.0,本人,高管
SZ300355,蒙草生态,2026-04-29,焦果珊,-1371000,3.33,23708200.0,本人,董事
SZ300335,迪森股份,2026-04-29,马革,-341800,6.68,25586700.0,本人,董事
SZ300305,裕兴股份,2026-04-29,刘全,-100000,6.7,2926600.0,本人,董事
SZ300304,云意电气,2026-04-29,付红玲,350000,11.33,6823800.0,本人,董事、高管
SZ300267,尔康制药,2026-04-29,帅放文,-1310000,4.24,852264900.0,本人,董事
SZ300196,长海股份,2026-04-29,周元龙,-30700,19.5,92100.0,本人,董事
SZ300071,福石控股,2026-04-29,黄宇军,-1000,4.85,261000.0,本人,董事
SZ002908,德生科技,2026-04-29,虢晓彬,-564900,8.52,139240000.0,本人,董事、高管
SZ002846,英联股份,2026-04-29,黄咏松,-10000,15.56,105200.0,本人,高管
SZ002415,海康威视,2026-04-29,奉玮,396600,34.7,469500.0,本人,高管、董秘
SZ002271,东方雨虹,2026-04-29,李卫国,-8670000,14.3,431743800.0,本人,董事
SZ002271,东方雨虹,2026-04-29,李卫国,-2529800,15.58,431743800.0,本人,董事
SZ002195,岩山科技,2026-04-29,黄国敏,-20000,8.81,914400.0,本人,高管
SZ002195,岩山科技,2026-04-29,陈于冰,-8000000,8.78,58678000.0,本人,董事、高管
SZ001209,洪兴股份,2026-04-29,柯国民,-900,21.42,16886500.0,本人,董事
SZ001209,洪兴股份,2026-04-29,周德茂,-50000,21.63,21035200.0,本人,董事、高管
SZ000989,九芝堂,2026-04-29,李振国,-2212300,9.72,145366000.0,本人,董事、高管
SH688613,奥精医疗,2026-04-29,黄晚兰,3809961,0.0,7574498.0,本人,董事
SH688613,奥精医疗,2026-04-29,崔福斋,-6334793,0.0,0.0,本人,董事
SH688613,奥精医疗,2026-04-29,Helen Han Cui,2524832,0.0,2524832.0,本人,董事
SH688592,司南导航,2026-04-29,翟传润,-20000,44.65,442033.0,本人,董事
SH688378,奥来德,2026-04-29,MOON HYOUNG DON,-4900,43.09,14857.0,本人,高级管理人员
SH688359,三孚新科,2026-04-29,田志斌,-20000,97.6,484625.0,,核心技术人员
SH688059,华锐精密,2026-04-29,段艳兰,-7500,133.06,24252.0,本人,高级管理人员
SH688059,华锐精密,2026-04-29,李志祥,-2800,128.36,23952.0,本人,董事、高级管理人员
SH688059,华锐精密,2026-04-29,丁国峰,-7800,128.08,23952.0,本人,高级管理人员
SH603878,武进不锈,2026-04-29,蒋小培,100,8.09,100.0,本人,监事
SH603660,苏州科达,2026-04-29,陈卫东,-2902000,9.45,12347658.0,本人,董事
SH603660,苏州科达,2026-04-29,陈冬根,-25910000,9.45,103901628.0,本人,董事
SH603366,日出东方,2026-04-29,徐国栋,-10000,8.37,80100.0,本人,董事
SH603050,科林电气,2026-04-29,陈贺,-40000,19.99,563485.0,本人,高级管理人员
SH600873,梅花生物,2026-04-29,常利斌,268000,10.02,2388000.0,本人,监事
SH600761,安徽合力,2026-04-29,陈先成,5000,18.29,5000.0,本人,董事、高级管理人员
SH600761,安徽合力,2026-04-29,毛献伟,5000,18.29,5000.0,本人,高级管理人员
,灿能电力,2026-04-28,刘静,-2000,23.11,371294.0,本人,高级管理人员
,均胜电子,2026-04-28,李俊彧,60000,17.21,120000.0,本人,董事
SZ301529,福赛科技,2026-04-28,殷敖金,-84000,110.24,5783400.0,本人,董事、高管
SZ301529,福赛科技,2026-04-28,杨宏亮,-31500,125.91,819200.0,本人,董事、高管
SZ301129,瑞纳智能,2026-04-28,陈朝晖,-5000,27.19,1113000.0,本人,董秘、高管、董事
SZ301031,中熔电气,2026-04-28,王伟,-50000,165.14,2955500.0,本人,董事
SZ300928,华安鑫创,2026-04-28,张龙,-8000,30.41,91600.0,本人,高管
SZ300696,爱乐达,2026-04-28,魏雪松,-5700,38.71,190800.0,本人,高管
SZ300681,英搏尔,2026-04-28,李红雨,-346500,30.82,12056300.0,本人,董事、高管
SZ300589,江龙船艇,2026-04-28,赵盛华,-234000,16.69,17117000.0,本人,董事
SZ300582,英飞特,2026-04-28,贾佩贤,-2000,15.93,142200.0,本人,董秘、高管
SZ300582,英飞特,2026-04-28,华桂林,-50000,15.97,984200.0,本人,董事
SZ300582,英飞特,2026-04-28,F MARSHALL MILES,-19800,15.92,132700.0,本人,董事
SZ300480,光力科技,2026-04-28,李祖庆,-2000,38.57,2248400.0,本人,董事、高管
SZ300444,双杰电气,2026-04-28,许专,-300000,16.7,12468300.0,本人,董事
SZ300335,迪森股份,2026-04-28,马革,-633600,6.6,25928500.0,本人,董事
SZ300305,裕兴股份,2026-04-28,刘全,-29700,6.56,3026600.0,本人,董事
SZ300179,四方达,2026-04-28,高华,-28600,29.14,85800.0,本人,高管、董事
SZ300179,四方达,2026-04-28,师金棒,-10000,29.5,70000.0,本人,高管
SZ002415,海康威视,2026-04-28,奉玮,72900,34.5,72900.0,本人,高管、董秘
SZ002318,久立特材,2026-04-28,李郑周,375000,28.81,10916400.0,本人,董事
SZ002318,久立特材,2026-04-28,周志江,500000,28.48,17132400.0,本人,董事
SZ002271,东方雨虹,2026-04-28,李卫国,-5000000,14.58,442943600.0,本人,董事
SZ002271,东方雨虹,2026-04-28,李卫国,-1898300,15.19,442943600.0,本人,董事
SZ002258,利尔化学,2026-04-28,尹英遂,50000,12.9,863000.0,本人,董事
SZ002152,广电运通,2026-04-28,钟勇,10000,11.7,20000.0,本人,董事
SZ000989,九芝堂,2026-04-28,李振国,-2000000,9.81,147578300.0,本人,董事、高管
SH688662,富信科技,2026-04-28,刘茂林,-1627,69.84,20673.0,,
SH688535,华海诚科,2026-04-28,刘兆明,-1501,131.79,0.0,,核心技术人员
SH688516,奥特维,2026-04-28,葛志勇,-59703,80.7,77702927.0,本人,董事
SH688395,正弦电气,2026-04-28,何畏,-200000,27.76,5691120.0,本人,高级管理人员
SH688371,菲沃泰,2026-04-28,隋爱国,-37500,22.16,35888.0,,核心技术人员
SH688186,广大特材,2026-04-28,周青春,10000,20.0,40000.0,,核心技术人员
SH603031,安孚科技,2026-04-28,王晓飞,49201,0.0,158536.0,本人,高级管理人员
SH603031,安孚科技,2026-04-28,梁红颖,67703,0.0,218153.0,本人,高级管理人员
SH603031,安孚科技,2026-04-28,刘荣海,201794,0.0,650224.0,本人,董事、高级管理人员
SH601908,京运通,2026-04-28,冯焕培,-102400000,3.62,307598668.0,本人,董事
SH600873,梅花生物,2026-04-28,常利斌,172700,10.1,2120000.0,本人,监事
SH600578,京能电力,2026-04-28,孙志强,100,4.81,2100.0,本人,高级管理人员
SZ301305,朗坤科技,2026-04-27,严武军,-3000,28.37,22000.0,本人,董秘
SZ301031,中熔电气,2026-04-27,王伟,-100000,170.37,3005500.0,本人,董事
SZ301002,崧盛股份,2026-04-27,邹超洋,-200000,47.72,2809300.0,本人,董事、高管
SZ300843,胜蓝股份,2026-04-27,郭正桃,-3700,71.52,11300.0,本人,董事
SZ300843,胜蓝股份,2026-04-27,王俊胜,-48000,72.26,144000.0,本人,董事、高管
SZ300843,胜蓝股份,2026-04-27,潘浩,-266300,71.98,799100.0,本人,董事、高管
SZ300740,水羊股份,2026-04-27,旷毅,100,25.35,100.0,本人,高管
SZ300681,英搏尔,2026-04-27,李红雨,-350000,30.6,12402800.0,本人,董事、高管
SZ300582,英飞特,2026-04-27,贾佩贤,-20000,15.73,144200.0,本人,董秘、高管
SZ300582,英飞特,2026-04-27,华桂林,-150000,15.73,1034200.0,本人,董事
SZ300582,英飞特,2026-04-27,F MARSHALL MILES,-24000,15.73,152500.0,本人,董事
SZ300517,海波重科,2026-04-27,张海波,20000,11.96,96554900.0,本人,董事
SZ300444,双杰电气,2026-04-27,许专,-500000,16.95,12768300.0,本人,董事
SZ300335,迪森股份,2026-04-27,马革,-811700,6.59,26562100.0,本人,董事
SZ300305,裕兴股份,2026-04-27,刘全,-200400,6.55,3056300.0,本人,董事
SZ300066,三川智慧,2026-04-27,宋财华,-92400,6.2,2046200.0,本人,董事、高管
SZ300017,网宿科技,2026-04-27,刘成彦,-1353100,17.06,121619300.0,本人,董事
SZ002957,科瑞技术,2026-04-27,饶乐乐,-59500,45.69,180900.0,本人,高管
SZ002271,东方雨虹,2026-04-27,李卫国,-4168700,15.27,449841900.0,本人,董事
SZ002271,东方雨虹,2026-04-27,李卫国,-12820000,14.3,449841900.0,本人,董事
SZ001317,三羊马,2026-04-27,任敏,-21000,52.24,63300.0,本人,董事
SZ000989,九芝堂,2026-04-27,李振国,-3700000,9.9,149578300.0,本人,董事、高管
SH688719,爱科赛博,2026-04-27,冯广义,-30000,60.7,469480.0,,核心技术人员
SH688628,优利德,2026-04-27,龙基智,-4000,107.9,5376.0,,核心技术人员
SH688615,合合信息,2026-04-27,龙腾,1477644,0.0,5171754.0,本人,董事、高级管理人员、核心技术人员
SH688615,合合信息,2026-04-27,陈青山,2629998,0.0,9204993.0,本人,董事、高级管理人员、核心技术人员
SH688615,合合信息,2026-04-27,镇立新,13545168,0.0,47408088.0,本人,董事、高级管理人员、核心技术人员
SH688615,合合信息,2026-04-27,罗希平,2871120,0.0,10048920.0,,
SH688615,合合信息,2026-04-27,沈东辉,421,0.0,1473.0,,
SH688615,合合信息,2026-04-27,丁凯,3004,0.0,10514.0,,核心技术人员
SH688516,奥特维,2026-04-27,葛志勇,-56210,80.2,77762630.0,本人,董事
SH688395,正弦电气,2026-04-27,张晓光,-400000,25.05,16395200.0,本人,董事
SH688393,安必平,2026-04-27,朱俊轩,-700,23.95,0.0,,核心技术人员
SH688325,赛微微电,2026-04-27,朱炜礼,-10000,123.27,192000.0,,核心技术人员
SH688186,广大特材,2026-04-27,周青春,15000,20.5,30000.0,,核心技术人员
SH688138,清溢光电,2026-04-27,邓振玉,-40000,30.23,58000.0,,核心技术人员
SH688012,中微公司,2026-04-27,张凯,-2000,349.0,1698.0,,核心技术人员
SH600873,梅花生物,2026-04-27,王有,50000,10.05,1023000.0,,
SH600578,京能电力,2026-04-27,孙志强,2000,5.09,2000.0,本人,高级管理人员
,雅葆轩,2026-04-24,胡啸宇,-100000,25.99,24159500.0,本人,董事
,力佳科技,2026-04-24,鞠鸣,-1000,20.27,82500.0,本人,高级管理人员
SZ301548,崇德科技,2026-04-24,吴星明,-65500,80.42,6754400.0,本人,董事
SZ301258,富士莱,2026-04-24,陆建刚,-2500,28.64,347500.0,本人,董事
SZ301062,上海艾录,2026-04-24,阮丹林,2400,8.2,2400.0,,
SZ300836,佰奥智能,2026-04-24,史凤华,-161000,58.0,4689800.0,本人,董事
SZ300831,派瑞股份,2026-04-24,岳宁,3000,16.9,159700.0,本人,董秘、高管
SZ300747,锐科激光,2026-04-24,汪伟,-10000,36.57,329400.0,本人,董事、高管
SZ300747,锐科激光,2026-04-24,李杰,-14400,36.02,203200.0,本人,高管
SZ300444,双杰电气,2026-04-24,许专,-239400,16.83,13268300.0,本人,董事
SZ300335,迪森股份,2026-04-24,马革,-666200,6.5,27373800.0,本人,董事
SZ002606,大连电瓷,2026-04-24,陈灵敏,-50900,14.67,222100.0,本人,董事、高管
SZ002559,亚威股份,2026-04-24,潘恩海,-925100,10.59,2842600.0,本人,董事、高管
SZ002559,亚威股份,2026-04-24,朱鹏程,-51600,10.56,3000900.0,本人,董事、高管
SZ001339,智微智能,2026-04-24,郭旭辉,-4511200,66.06,64188800.0,本人,董事
SZ000915,华特达因,2026-04-24,谭立富,5000,28.4,5000.0,本人,高管
SZ000915,华特达因,2026-04-24,范智胜,5000,28.41,10000.0,本人,董事
SZ000915,华特达因,2026-04-24,王龙江,5000,28.49,5000.0,本人,高管
SZ000915,华特达因,2026-04-24,樊黎明,6000,28.66,6000.0,本人,董秘
SZ000915,华特达因,2026-04-24,杨杰,50000,28.5,80000.0,本人,董事、高管
SZ000915,华特达因,2026-04-24,何淑旺,10100,28.57,10100.0,本人,董事、高管
SH688663,新风光,2026-04-24,方汉学,-30000,68.0,218279.0,,核心技术人员
SH688378,奥来德,2026-04-24,轩菱忆,-1765406,36.53,22186756.0,本人,董事、高级管理人员
SH688378,奥来德,2026-04-24,轩景泉,-1830894,38.02,52618471.0,本人,董事、高级管理人员、核心技术人员
SH688366,昊海生科,2026-04-24,刘璐,-2000,39.44,6257.0,,核心技术人员
SH688186,广大特材,2026-04-24,周青春,15000,20.7,15000.0,,核心技术人员
SH688173,希荻微,2026-04-24,范俊,-762065,15.07,9287160.0,本人,高级管理人员、核心技术人员
SH688059,华锐精密,2026-04-24,李志祥,-5000,126.1,26752.0,本人,董事、高级管理人员
SH688020,方邦股份,2026-04-24,高强,-6800,117.72,20887.0,本人,董事
SH688020,方邦股份,2026-04-24,王作凯,-8100,117.45,25030.0,本人,董事
SH688020,方邦股份,2026-04-24,汪友涛,-7200,117.92,22800.0,本人,高级管理人员
SH603098,森特股份,2026-04-24,刘爱森,100000,14.95,138943005.0,本人,董事
SH601678,滨化股份,2026-04-24,蔡颖辉,-90000,5.08,900000.0,本人,高级管理人员
SH601211,国泰海通,2026-04-24,徐岚,0,7.64,210000.0,本人,高级管理人员
SH600873,梅花生物,2026-04-24,王有,100000,10.07,973000.0,,
SH600873,梅花生物,2026-04-24,常利斌,500000,10.05,1947300.0,,
,力佳科技,2026-04-23,鞠鸣,-1000,20.12,83500.0,本人,高级管理人员
SZ300681,英搏尔,2026-04-23,李红雨,-499900,30.45,12752800.0,本人,董事、高管
SZ300221,银禧科技,2026-04-23,谭映儿,-99100,11.23,297500.0,本人,董事
SZ300058,蓝色光标,2026-04-23,赵文权,-4700000,19.87,135300000.0,本人,董事
SZ300058,蓝色光标,2026-04-23,熊剑,-112300,19.29,1063600.0,本人,董事、高管
SZ002559,亚威股份,2026-04-23,潘恩海,-22100,10.58,3767700.0,本人,董事、高管
SZ002559,亚威股份,2026-04-23,朱鹏程,-938500,10.65,3052500.0,本人,董事、高管
SZ002559,亚威股份,2026-04-23,施金霞,-1627800,10.57,5532400.0,本人,董事、高管
SH688508,芯朋微,2026-04-23,赵云飞,-800,74.65,0.0,,
SH688314,康拓医疗,2026-04-23,赵若愚,-200000,45.9,626000.0,本人,董事
SH688314,康拓医疗,2026-04-23,朱海龙,-300000,45.9,7086000.0,本人,董事
SH603618,杭电股份,2026-04-23,胡建明,-158000,29.23,474900.0,本人,高级管理人员
SH603618,杭电股份,2026-04-23,华建飞,-392000,31.41,3278700.0,本人,董事
SH603618,杭电股份,2026-04-23,倪益剑,-158000,31.06,474900.0,本人,董事
SH603466,风语筑,2026-04-23,李晖,-6985720,9.04,112138180.0,本人,董事
SH603219,富佳股份,2026-04-23,涂自群,-62800,17.25,884920.0,本人,董事
SH603151,邦基科技,2026-04-23,王艾琴,10000,12.45,370100.0,本人,高级管理人员
SH603098,森特股份,2026-04-23,刘爱森,40000,15.4,138843005.0,本人,董事
SH601678,滨化股份,2026-04-23,蔡颖辉,-90000,5.18,990000.0,本人,高级管理人员
SH600873,梅花生物,2026-04-23,王爱玲,804237,9.98,1183137.0,本人,高级管理人员
SH600873,梅花生物,2026-04-23,王爱军,1534600,9.78,73987374.0,本人,董事
SH600873,梅花生物,2026-04-23,王丽红,105000,9.85,222300.0,本人,高级管理人员
SH600873,梅花生物,2026-04-23,常利斌,570000,9.79,1447300.0,,
SH600873,梅花生物,2026-04-23,刘现芳,154000,9.85,341400.0,本人,高级管理人员
SH600873,梅花生物,2026-04-23,何君,3811800,9.99,28396258.0,本人,董事、高级管理人员
SH600763,通策医疗,2026-04-23,赵敏,4600,41.05,20900.0,,
,力佳科技,2026-04-22,高树勋,-50350,21.48,220050.0,本人,董事
SZ300681,英搏尔,2026-04-22,李红雨,-349900,30.55,13252700.0,本人,董事、高管
SZ300508,维宏股份,2026-04-22,汤同奎,20000,33.64,34825000.0,本人,董事
SZ002938,鹏鼎控股,2026-04-22,王志兴,-1000,75.21,29000.0,,
SZ002262,恩华药业,2026-04-22,孙彭生,200000,21.34,49938500.0,本人,董事
SZ000811,冰轮环境,2026-04-22,葛运江,-18700,22.35,156300.0,本人,高管
SH688719,爱科赛博,2026-04-22,石全茂,-20000,57.5,415080.0,,核心技术人员
SH688719,爱科赛博,2026-04-22,冯广义,-30000,56.6,499480.0,,核心技术人员
SH688667,菱电电控,2026-04-22,田奎,-3000,151.0,6680.0,,核心技术人员
SH688508,芯朋微,2026-04-22,赵云飞,800,66.0,800.0,,
SH688325,赛微微电,2026-04-22,赵建华,-10019,123.43,1091630.0,本人,董事、高级管理人员
SH688325,赛微微电,2026-04-22,蒋燕波,-5000,122.24,217790.0,本人,董事、高级管理人员
SH688090,瑞松科技,2026-04-22,罗渊,-200,75.0,11200.0,,
SH605001,威奥股份,2026-04-22,徐要华,1000,7.21,1000.0,,
SH603618,杭电股份,2026-04-22,尹志平,-158000,28.55,474900.0,本人,高级管理人员
SH603618,杭电股份,2026-04-22,华建飞,-700000,28.55,3670700.0,本人,董事
SH603151,邦基科技,2026-04-22,张洪超,40000,12.45,80000.0,本人,董事、高级管理人员
SH603098,森特股份,2026-04-22,刘爱森,52400,15.16,138803005.0,本人,董事
SH603025,大豪科技,2026-04-22,吴海宏,-1797800,16.35,109067591.0,本人,董事
SH603007,花王股份,2026-04-22,陆荣峰,2300,6.37,2300.0,,
SH600873,梅花生物,2026-04-22,王有,200000,10.07,873000.0,,
SH600873,梅花生物,2026-04-22,常利斌,300000,10.03,877300.0,,
SH600400,红豆股份,2026-04-22,周海江,-1851600,2.05,24391391.0,本人,董事
SH600308,华泰股份,2026-04-22,马厚悦,-10000,4.07,30000.0,,
,雅葆轩,2026-04-21,胡啸宇,-50000,25.56,24259500.0,本人,董事
,禾昌聚合,2026-04-21,周加进,2000,19.08,842000.0,本人,高级管理人员
SZ301529,福赛科技,2026-04-21,殷敖金,-205600,114.81,5867400.0,本人,董事、高管
SZ301529,福赛科技,2026-04-21,殷敖金,-168200,102.59,5867400.0,本人,董事、高管
SZ301529,福赛科技,2026-04-21,杨宏亮,-2500,115.29,850700.0,本人,董事、高管
SZ300136,信维通信,2026-04-21,彭浩,-4413300,76.95,178866000.0,本人,董事高管
SZ002252,上海莱士,2026-04-21,胡维兵,2000,5.67,1182000.0,,
SH688686,奥普特,2026-04-21,贺珍真,6627,48.62,11064.0,,核心技术人员
SH688686,奥普特,2026-04-21,李江锋,3978,48.62,3978.0,,核心技术人员
SH688686,奥普特,2026-04-21,叶建平,5301,48.62,9007.0,本人,高级管理人员
SH688678,福立旺,2026-04-21,黄屹立,6269,0.0,21941.0,,核心技术人员
SH688678,福立旺,2026-04-21,许中平,4929,0.0,17251.0,,核心技术人员
SH688106,金宏气体,2026-04-21,陈琪,-15697,29.5,0.0,,核心技术人员
SH688070,纵横股份,2026-04-21,刘述超,5000,21.68,5000.0,,核心技术人员
SH688070,纵横股份,2026-04-21,付鹏,15000,21.68,15000.0,,核心技术人员
SH603286,日盈电子,2026-04-21,是蓉珠,-636400,70.74,21038600.0,本人,董事
SH603098,森特股份,2026-04-21,刘爱森,70600,14.78,138750605.0,本人,董事
SH603025,大豪科技,2026-04-21,吴海宏,-800000,16.56,110865391.0,本人,董事
SH600763,通策医疗,2026-04-21,赵敏,600,40.91,16300.0,,
SH600400,红豆股份,2026-04-21,周海江,-5000000,2.05,26242991.0,本人,董事
,雅葆轩,2026-04-20,胡啸宇,-178600,26.29,24309500.0,本人,董事
,艾能聚,2026-04-20,张良华,-25000,16.55,11320900.0,本人,董事、高级管理人员
,建邦科技,2026-04-20,陈汝刚,15000,6.94,80000.0,本人,高级管理人员
SZ301439,泓淋电力,2026-04-20,姜华,2000,16.18,2000.0,,
SZ300136,信维通信,2026-04-20,彭浩,-5224200,78.01,183279300.0,本人,董事、高管
SZ002271,东方雨虹,2026-04-20,李卫国,-3483500,15.91,466830600.0,本人,董事
SZ002126,银轮股份,2026-04-20,陈敏,-85000,49.73,736000.0,本人,董秘
SH688981,中芯国际,2026-04-20,阎大勇,-28000,108.07,0.0,,核心技术人员
SH688325,赛微微电,2026-04-20,赵建华,-6232,125.77,1101649.0,本人,董事、高级管理人员
SH688325,赛微微电,2026-04-20,蒋燕波,-1208,125.15,222790.0,本人,董事、高级管理人员
SH688311,盟升电子,2026-04-20,吴真,1000,39.96,4417.0,,核心技术人员
SH688311,盟升电子,2026-04-20,吴真,-1000,40.09,3417.0,,核心技术人员
SH688018,乐鑫科技,2026-04-20,王栋,-1000,168.0,16052.0,,核心技术人员
SH603050,科林电气,2026-04-20,陈贺,-40000,20.06,603495.0,本人,董事
SH600641,先导基电,2026-04-20,朱刘,2050000,9.74,2050000.0,本人,董事
SH600641,先导基电,2026-04-20,徐江山,265000,9.74,265000.0,,
SH600641,先导基电,2026-04-20,张国良,120000,9.74,120000.0,,
SH600641,先导基电,2026-04-20,周伟芳,1800000,9.74,1800000.0,本人,董事
SH600641,先导基电,2026-04-20,吴祯旎,260000,9.74,260000.0,,
SH600641,先导基电,2026-04-20,叶蒙蒙,1800000,9.74,1800000.0,本人,董事
